x,y,Category,Document
-70.43238,-30.407475,Utilities,Water Bill -310.11 Utilities
72.676186,-2.5730405,Healthcare,Doctor Visit -472.06 Healthcare
35.61563,55.976612,Freelance,Consulting Work 2846.21 Freelance
-78.13528,30.401669,Entertainment,Netflix -464.92 Entertainment
-27.073078,19.366322,Investments,Crypto Gain 1496.48 Investments
-15.6901045,-30.162027,Salary,Bonus Payment 2940.26 Salary
-24.436499,-80.81767,Freelance,Consulting Work 4658.59 Freelance
-22.35782,71.83838,Freelance,Consulting Work 873.33 Freelance
21.438202,4.482092,Groceries,Walmart -331.71 Groceries
36.110855,-54.51425,Investments,Stock Dividend 3651.33 Investments
